_id,poolsId,salinity,acidity,oxygen,temperature,isArchived,createdAt,updatedAt,__v
663ce40ef2fa290dc515bb18,663992dcb0c4e66c68a4c7d1,0.0,4.234640598,5,25.25,False,2024-05-09 14:56:14.512,2024-05-09 14:56:14.512,0
663ce880918cacefe83770f9,663992dcb0c4e66c68a4c7d1,4.476045609,6.636017323,5,25.25,False,2024-05-09 15:15:12.956,2024-05-09 15:15:12.956,0
663ce8bc918cacefe8377129,663992dcb0c4e66c68a4c7d1,4.246424675,6.699570179,7,25.25,False,2024-05-09 15:16:12.206,2024-05-09 15:16:12.206,0
663ce8f7918cacefe837712d,663992dcb0c4e66c68a4c7d1,3.903064489,6.772201538,6,25.25,False,2024-05-09 15:17:11.996,2024-05-09 15:17:11.996,0
663ce934918cacefe837713d,663992dcb0c4e66c68a4c7d1,3.621938944,6.79489851,5,25.25,False,2024-05-09 15:18:12.075,2024-05-09 15:18:12.075,0
663cee0e918cacefe837717d,663992dcb0c4e66c68a4c7d1,2.838649035,6.772201538,5,24.9375,False,2024-05-09 15:38:54.352,2024-05-09 15:38:54.352,0
663cee4a918cacefe8377181,663992dcb0c4e66c68a4c7d1,2.776414633,6.785820007,7,24.625,False,2024-05-09 15:39:54.311,2024-05-09 15:39:54.311,0
663cee85918cacefe83771ab,663992dcb0c4e66c68a4c7d1,2.688429117,6.808516979,6,22.0625,False,2024-05-09 15:40:53.678,2024-05-09 15:40:53.678,0
663ceec1918cacefe83771af,663992dcb0c4e66c68a4c7d1,2.697010994,6.813056469,5,24.9375,False,2024-05-09 15:41:53.766,2024-05-09 15:41:53.766,0
663ceefd918cacefe83771b3,663992dcb0c4e66c68a4c7d1,2.772120953,6.822135448,4,25.3125,False,2024-05-09 15:42:53.694,2024-05-09 15:42:53.694,0
663cef39918cacefe83771b7,663992dcb0c4e66c68a4c7d1,2.757100105,6.835753918,4,21.6875,False,2024-05-09 15:43:53.782,2024-05-09 15:43:53.782,0
663cef75918cacefe83771c7,663992dcb0c4e66c68a4c7d1,2.842940092,6.849372387,4,24.8125,False,2024-05-09 15:44:53.714,2024-05-09 15:44:53.714,0
663cefb1918cacefe83771cb,663992dcb0c4e66c68a4c7d1,2.778559923,6.867530346,4,24.875,False,2024-05-09 15:45:53.688,2024-05-09 15:45:53.688,0
663cefed918cacefe83771db,663992dcb0c4e66c68a4c7d1,2.787144423,6.872069836,4,24.875,False,2024-05-09 15:46:53.706,2024-05-09 15:46:53.706,0
663cf029918cacefe83771df,663992dcb0c4e66c68a4c7d1,2.909465551,6.881148338,7,24.8125,False,2024-05-09 15:47:53.704,2024-05-09 15:47:53.704,0
663cf065918cacefe83771e3,663992dcb0c4e66c68a4c7d1,2.772120953,6.881148338,7,24.8125,False,2024-05-09 15:48:53.708,2024-05-09 15:48:53.708,0
663cf0a1918cacefe83771e7,663992dcb0c4e66c68a4c7d1,2.817188978,6.876609325,7,24.8125,False,2024-05-09 15:49:53.932,2024-05-09 15:49:53.932,0
663cf0dd918cacefe83771eb,663992dcb0c4e66c68a4c7d1,2.937364578,6.890227318,7,24.8125,False,2024-05-09 15:50:53.679,2024-05-09 15:50:53.679,0
663cf119918cacefe8377201,663992dcb0c4e66c68a4c7d1,3.029640913,6.922003746,5,24.8125,False,2024-05-09 15:51:53.642,2024-05-09 15:51:53.642,0
663cf155918cacefe8377205,663992dcb0c4e66c68a4c7d1,2.918050051,6.912924767,4,24.75,False,2024-05-09 15:52:53.672,2024-05-09 15:52:53.672,0
663cf191918cacefe8377209,663992dcb0c4e66c68a4c7d1,2.92663455,6.922003746,5,24.8125,False,2024-05-09 15:53:53.672,2024-05-09 15:53:53.672,0
663cf1cd918cacefe837720d,663992dcb0c4e66c68a4c7d1,2.913758993,6.931082726,6,24.8125,False,2024-05-09 15:54:53.709,2024-05-09 15:54:53.709,0
663cf209918cacefe8377211,663992dcb0c4e66c68a4c7d1,2.971699953,6.922003746,6,24.8125,False,2024-05-09 15:55:53.674,2024-05-09 15:55:53.674,0
663cf245918cacefe8377221,663992dcb0c4e66c68a4c7d1,2.967409134,6.926543236,5,24.75,False,2024-05-09 15:56:53.640,2024-05-09 15:56:53.641,0
663cf287fbffeaab36e35510,663992dcb0c4e66c68a4c7d1,2.958824635,6.926543236,4,24.75,False,2024-05-09 15:57:59.940,2024-05-09 15:57:59.940,0
663cf2bdfbffeaab36e35515,663992dcb0c4e66c68a4c7d1,2.952385426,6.931082726,5,24.75,False,2024-05-09 15:58:53.693,2024-05-09 15:58:53.693,0
663cf2f9fbffeaab36e35519,663992dcb0c4e66c68a4c7d1,2.840794563,6.926543236,7,21.375,False,2024-05-09 15:59:53.653,2024-05-09 15:59:53.653,0
663cf335fbffeaab36e3551d,663992dcb0c4e66c68a4c7d1,3.055394411,6.931082726,4,24.6875,False,2024-05-09 16:00:53.855,2024-05-09 16:00:53.855,0
